sentence_id,sentence,nltk_label,nltk_neg,nltk_neu,nltk_pos,nltk_compound
126,The aboriginal inhabitants of these countries I have regarded with the commiseration their history inspires.,positive,0.0,0.818,0.182,0.4404
127,"Endowed with the faculties and the rights of men, breathing an ardent love of liberty and independence, and occupying a country which left them no desire but to be undisturbed, the stream of overflowing population from other regions directed itself on these shores; without power to divert or habits to contend against it, they have been overwhelmed by the current or driven before it; now reduced within limits too narrow for the hunter's state, humanity enjoins us to teach them agriculture and the domestic arts; to encourage them to that industry which alone can enable them to maintain their place in existence and to prepare them in time for that state of society which to bodily comforts adds the improvement of the mind and morals.",positive,0.029,0.801,0.17,0.9571
128,"We have therefore liberally furnished them with the implements of husbandry and household use; we have placed among them instructors in the arts of first necessity, and they are covered with the aegis of the law against aggressors from among ourselves.",negative,0.045,0.955,0.0,-0.2263
129,"But the endeavors to enlighten them on the fate which awaits their present course of life, to induce them to exercise their reason, follow its dictates, and change their pursuits with the change of circumstances have powerful obstacles to encounter; they are combated by the habits of their bodies, prejudices of their minds, ignorance, pride, and the influence of interested and crafty individuals among them who feel themselves something in the present order of things and fear to become nothing in any other.",positive,0.14,0.705,0.155,0.1531
130,"These persons inculcate a sanctimonious reverence for the customs of their ancestors; that whatsoever they did must be done through all time; that reason is a false guide, and to advance under its counsel in their physical, moral, or political condition is perilous innovation; that their duty is to remain as their Creator made them, ignorance being safety and knowledge full of danger; in short, my friends, among them also is seen the action and counteraction of good sense and of bigotry; they too have their antiphilosophists who find an interest in keeping things in their present state, who dread reformation, and exert all their faculties to maintain the ascendancy of habit over the duty of improving our reason and obeying its mandates.",positive,0.064,0.811,0.125,0.8074
131,"In giving these outlines I do not mean, fellow citizens, to arrogate to myself the merit of the measures.",positive,0.0,0.755,0.245,0.6369
132,"That is due, in the first place, to the reflecting character of our citizens at large, who, by the weight of public opinion, influence and strengthen the public measures.",positive,0.0,0.924,0.076,0.3182
133,It is due to the sound discretion with which they select from among themselves those to whom they confide the legislative duties.,neutral,0.0,1.0,0.0,0.0
134,"It is due to the zeal and wisdom of the characters thus selected, who lay the foundations of public happiness in wholesome laws, the execution of which alone remains for others, and it is due to the able and faithful auxiliaries, whose patriotism has associated them with me in the executive functions.",positive,0.033,0.801,0.165,0.836
135,"During this course of administration, and in order to disturb it, the artillery of the press has been leveled against us, charged with whatsoever its licentiousness could devise or dare.",negative,0.138,0.862,0.0,-0.5423
136,"These abuses of an institution so important to freedom and science are deeply to be regretted, inasmuch as they tend to lessen its usefulness and to sap its safety.",positive,0.157,0.557,0.286,0.656
137,"They might, indeed, have been corrected by the wholesome punishments reserved to and provided by the laws of the several States against falsehood and defamation, but public duties more urgent press on the time of public servants, and the offenders have therefore been left to find their punishment in the public indignation.",negative,0.221,0.738,0.041,-0.9083
138,"Nor was it uninteresting to the world that an experiment should be fairly and fully made, whether freedom of discussion, unaided by power, is not sufficient for the propagation and protection of truth -- whether a government conducting itself in the true spirit of its constitution, with zeal and purity, and doing no act which it would be unwilling the whole world should witness, can be written down by falsehood and defamation.",positive,0.028,0.831,0.142,0.8428
139,"The experiment has been tried; you have witnessed the scene; our fellow citizens looked on, cool and collected; they saw the latent source from which these outrages proceeded; they gathered around their public functionaries, and when the Constitution called them to the decision by suffrage, they pronounced their verdict, honorable to those who had served them and consolatory to the friend of man who believes that he may be trusted with the control of his own affairs.",positive,0.037,0.807,0.156,0.8555
140,"No inference is here intended that the laws provided by the States against false and defamatory publications should not be enforced; he who has time renders a service to public morals and public tranquillity in reforming these abuses by the salutary coercions of the law; but the experiment is noted to prove that, since truth and reason have maintained their ground against false opinions in league with false facts, the press, confined to truth, needs no other legal restraint; the public judgment will correct false reasoning and opinions on a full hearing of all parties; and no other definite line can be drawn between the inestimable liberty of the press and its demoralizing licentiousness.",positive,0.073,0.772,0.156,0.8968
141,"If there be still improprieties which this rule would not restrain, its supplement must be sought in the censorship of public opinion.",neutral,0.0,1.0,0.0,0.0
142,"Contemplating the union of sentiment now manifested so generally as auguring harmony and happiness to our future course, I offer to our country sincere congratulations.",positive,0.0,0.608,0.392,0.9169
143,"With those, too, not yet rallied to the same point the disposition to do so is gaining strength; facts are piercing through the veil drawn over them, and our doubting brethren will at length see that the mass of their fellow citizens with whom they can not yet resolve to act as to principles and measures, think as they think and desire what they desire; that our wish as well as theirs is that the public efforts may be directed honestly to the public good, that peace be cultivated, civil and religious liberty unassailed, law and order preserved, equality of rights maintained, and that state of property, equal or unequal, which results to every man from his own industry or that of his father's.",positive,0.047,0.752,0.2,0.9704
144,When satisfied of these views it is not in human nature that they should not approve and support them.,positive,0.102,0.771,0.127,0.1386
145,"In the meantime let us cherish them with patient affection, let us do them justice, and more than justice, in all competitions of interest; and we need not doubt that truth, reason, and their own interests will at length prevail, will gather them into the fold of their country, and will complete that entire union of opinion which gives to a nation the blessing of harmony and the benefit of all its strength.",positive,0.021,0.638,0.341,0.9818
146,"I shall now enter on the duties to which my fellow citizens have again called me, and shall proceed in the spirit of those principles which they have approved.",positive,0.0,0.852,0.148,0.5423
147,"I fear not that any motives of interest may lead me astray; I am sensible of no passion which could seduce me knowingly from the path of justice, but the weaknesses of human nature and the limits of my own understanding will produce errors of judgment sometimes injurious to your interests.",negative,0.168,0.686,0.146,-0.3291
148,"I shall need, therefore, all the indulgence which I have heretofore experienced from my constituents; the want of it will certainly not lessen with increasing years.",positive,0.0,0.856,0.144,0.4019
149,"I shall need, too, the favor of that Being in whose hands we are, who led our fathers, as Israel of old, from their native land and planted them in a country flowing with all the necessaries and comforts of life; who has covered our infancy with His providence and our riper years with His wisdom and power, and to whose goodness I ask you to join in supplications with me that He will so enlighten the minds of your servants, guide their councils, and prosper their measures that whatsoever they do shall result in your good, and shall secure to you the peace, friendship, and approbation of all nations.",positive,0.0,0.762,0.238,0.9824
150,"Unwilling to depart from examples of the most revered authority, I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions.",positive,0.029,0.841,0.129,0.6682
151,"So distinguished a mark of confidence, proceeding from the deliberate and tranquil suffrage of a free and virtuous nation, would under any circumstances have commanded my gratitude and devotion, as well as filled me with an awful sense of the trust to be assumed.",positive,0.051,0.56,0.389,0.9578
152,"Under the various circumstances which give peculiar solemnity to the existing period, I feel that both the honor and the responsibility allotted to me are inexpressibly enhanced.",positive,0.07,0.769,0.161,0.4019
153,The present situation of the world is indeed without a parallel and that of our own country full of difficulties.,negative,0.109,0.891,0.0,-0.296
154,"The pressure of these, too, is the more severely felt because they have fallen upon us at a moment when the national prosperity being at a height not before attained, the contrast resulting from the change has been rendered the more striking.",negative,0.178,0.822,0.0,-0.7902
155,"Under the benign influence of our republican institutions, and the maintenance of peace with all nations whilst so many of them were engaged in bloody and wasteful wars, the fruits of a just policy were enjoyed in an unrivaled growth of our faculties and resources.",positive,0.112,0.639,0.249,0.7845
156,"Proofs of this were seen in the improvements of agriculture, in the successful enterprises of commerce, in the progress of manufacturers and useful arts, in the increase of the public revenue and the use made of it in reducing the public debt, and in the valuable works and establishments everywhere multiplying over the face of our land.",positive,0.036,0.717,0.247,0.9287
157,"It is a precious reflection that the transition from this prosperous condition of our country to the scene which has for some time been distressing us is not chargeable on any unwarrantable views, nor, as I trust, on any involuntary errors in the public councils.",positive,0.147,0.715,0.138,0.1338
158,"Indulging no passions which trespass on the rights or the repose of other nations, it has been the true glory of the United States to cultivate peace by observing justice, and to entitle themselves to the respect of the nations at war by fulfilling their neutral obligations with the most scrupulous impartiality.",positive,0.085,0.602,0.312,0.9451
159,"If there be candor in the world, the truth of these assertions will not be questioned; posterity at least will do justice to them.",positive,0.0,0.75,0.25,0.7181
160,This unexceptionable course could not avail against the injustice and violence of the belligerent powers.,negative,0.375,0.625,0.0,-0.8316
161,"In their rage against each other, or impelled by more direct motives, principles of retaliation have been introduced equally contrary to universal reason and acknowledged law.",negative,0.126,0.874,0.0,-0.5574
162,"How long their arbitrary edicts will be continued in spite of the demonstrations that not even a pretext for them has been given by the United States, and of the fair and liberal attempt to induce a revocation of them, can not be anticipated.",positive,0.072,0.821,0.107,0.1779
163,"Assuring myself that under every vicissitude the determined spirit and united councils of the nation will be safeguards to its honor and its essential interests, I repair to the post assigned me with no other discouragement than what springs from my own inadequacy to its high duties.",positive,0.13,0.59,0.28,0.802
164,If I do not sink under the weight of this deep conviction it is because I find some support in a consciousness of the purposes and a confidence in the principles which I bring with me into this arduous service.,positive,0.0,0.846,0.154,0.7184
165,"To cherish peace and friendly intercourse with all nations having correspondent dispositions; to maintain sincere neutrality toward belligerent nations; to prefer in all cases amicable discussion and reasonable accommodation of differences to a decision of them by an appeal to arms; to exclude foreign intrigues and foreign partialities, so degrading to all countries and so baneful to free ones; to foster a spirit of independence too just to invade the rights of others, too proud to surrender our own, too liberal to indulge unworthy prejudices ourselves and too elevated not to look down upon them in others; to hold the union of the States as the basis of their peace and happiness; to support the Constitution, which is the cement of the Union, as well in its limitations as in its authorities; to respect the rights and authorities reserved to the States and to the people as equally incorporated with and essential to the success of the general system; to avoid the slightest interference with the right of conscience or the functions of religion, so wisely exempted from civil jurisdiction; to preserve in their full energy the other salutary provisions in behalf of private and personal rights, and of the freedom of the press; to observe economy in public expenditures; to liberate the public resources by an honorable discharge of the public debts; to keep within the requisite limits a standing military force, always remembering that an armed and trained militia is the firmest bulwark of republics -- that without standing armies their liberty can never be in danger, nor with large ones safe; to promote by authorized means improvements friendly to agriculture, to manufactures, and to external as well as internal commerce; to favor in like manner the advancement of science and the diffusion of information as the best aliment to true liberty; to carry on the benevolent plans which have been so meritoriously applied to the conversion of our aboriginal neighbors from the degradation and wretchedness of savage life to a participation of the improvements of which the human mind and manners are susceptible in a civilized state -- as far as sentiments and intentions such as these can aid the fulfillment of my duty, they will be a resource which can not fail me.",positive,0.047,0.73,0.224,0.9973
166,"It is my good fortune, moreover, to have the path in which I am to tread lighted by examples of illustrious services successfully rendered in the most trying difficulties by those who have marched before me.",positive,0.061,0.789,0.15,0.5606
167,Of those of my immediate predecessor it might least become me here to speak.,neutral,0.0,1.0,0.0,0.0
168,"I may, however, be pardoned for not suppressing the sympathy with which my heart is full in the rich reward he enjoys in the benedictions of a beloved country, gratefully bestowed or exalted talents zealously devoted through a long career to the advancement of its highest interest and happiness.",positive,0.031,0.512,0.457,0.9819
169,"But the source to which I look or the aids which alone can supply my deficiencies is in the well-tried intelligence and virtue of my fellow-citizens, and in the counsels of those representing them in the other departments associated in the care of the national interests.",positive,0.044,0.7,0.256,0.9209
170,"In these my confidence will under every difficulty be best placed, next to that which we have all been encouraged to feel in the guardianship and guidance of that Almighty Being whose power regulates the destiny of nations, whose blessings have been so conspicuously dispensed to this rising Republic, and to whom we are bound to address our devout gratitude for the past, as well as our fervent supplications and best hopes for the future.",positive,0.025,0.681,0.294,0.9766
171,"About to add the solemnity of an oath to the obligations imposed by a second call to the station in which my country heretofore placed me, I find in the presence of this respectable assembly an opportunity of publicly repeating my profound sense of so distinguished a confidence and of the responsibility united with it.",positive,0.055,0.742,0.203,0.8794
172,"The impressions on me are strengthened by such an evidence that my faithful endeavors to discharge my arduous duties have been favorably estimated, and by a consideration of the momentous period at which the trust has been renewed.",positive,0.0,0.703,0.297,0.91
173,"From the weight and magnitude now belonging to it I should be compelled to shrink if I had less reliance on the support of an enlightened and generous people, and felt less deeply a conviction that the war with a powerful nation, which forms so prominent a feature in our situation, is stamped with that justice which invites the smiles of Heaven on the means of conducting it to a successful termination.",positive,0.044,0.62,0.336,0.9747
174,May we not cherish this sentiment without presumption when we reflect on the characters by which this war is distinguished?,negative,0.274,0.726,0.0,-0.7788
175,"It was not declared on the part of the United States until it had been long made on them, in reality though not in name; until arguments and postulations had been exhausted; until a positive declaration had been received that the wrongs provoking it would not be discontinued; nor until this last appeal could no longer be delayed without breaking down the spirit of the nation, destroying all confidence in itself and in its political institutions, and either perpetuating a state of disgraceful suffering or regaining by more costly sacrifices and more severe struggles our lost rank and respect among independent powers.",negative,0.218,0.667,0.115,-0.8739
176,On the issue of the war are staked our national sovereignty on the high seas and the security of an important class of citizens whose occupations give the proper value to those of every other class.,positive,0.092,0.753,0.155,0.1779
177,Not to contend for such a stake is to surrender our equality with other powers on the element common to all and to violate the sacred title which every member of the society has to its protection.,negative,0.113,0.887,0.0,-0.5184
178,"I need not call into view the unlawfulness of the practice by which our mariners are forced at the will of every cruising officer from their own vessels into foreign ones, nor paint the outrages inseparable from it.",negative,0.074,0.86,0.066,-0.0767
179,"The proofs are in the records of each successive Administration of our Government, and the cruel sufferings of that portion of the American people have found their way to every bosom not dead to the sympathies of human nature.",positive,0.084,0.794,0.122,0.1882
180,"As the war was just in its origin and necessary and noble in its objects, we can reflect with a proud satisfaction that in carrying it on no principle of justice or honor, no usage of civilized nations, no precept of courtesy or humanity, have been infringed.",positive,0.163,0.557,0.28,0.8225
181,"The war has been waged on our part with scrupulous regard to all these obligations, and in a spirit of liberality which was never surpassed.",negative,0.141,0.797,0.062,-0.4939
182,How little has been the effect of this example on the conduct of the enemy!,negative,0.213,0.787,0.0,-0.5848
183,They have retained as prisoners of war citizens of the United States not liable to be so considered under the usages of war.,negative,0.336,0.545,0.118,-0.8481
184,"They have refused to consider as prisoners of war, and threatened to punish as traitors and deserters, persons emigrating without restraint to the United States, incorporated by naturalization into our political family, and fighting under the authority of their adopted country in open and honorable war for the maintenance of its rights and safety.",negative,0.294,0.569,0.138,-0.9153
185,"Such is the avowed purpose of a Government which is in the practice of naturalizing by thousands citizens of other countries, and not only of permitting but compelling them to fight its battles against their native country.",negative,0.161,0.783,0.056,-0.6652
186,"They have not, it is true, taken into their own hands the hatchet and the knife, devoted to indiscriminate massacre, but they have let loose the savages armed with these cruel instruments; have allured them into their service, and carried them to battle by their sides, eager to glut their savage thirst with the blood of the vanquished and to finish the work of torture and death on maimed and defenseless captives.",negative,0.35,0.6,0.05,-0.9867
187,"And, what was never before seen, British commanders have extorted victory over the unconquerable valor of our troops by presenting to the sympathy of their chief captives awaiting massacre from their savage associates.",negative,0.082,0.849,0.068,-0.128
188,"And now we find them, in further contempt of the modes of honorable warfare, supplying the place of a conquering force by attempts to disorganize our political society, to dismember our confederated Republic.",negative,0.156,0.753,0.091,-0.3612
189,"Happily, like others, these will recoil on the authors; but they mark the degenerate counsels from which they emanate, and if they did not belong to a sense of unexampled inconsistencies might excite the greater wonder as proceeding from a Government which founded the very war in which it has been so long engaged on a charge against the disorganizing and insurrectional policy of its adversary.",positive,0.101,0.705,0.194,0.7527
190,"To render the justice of the war on our part the more conspicuous, the reluctance to commence it was followed by the earliest and strongest manifestations of a disposition to arrest its progress.",neutral,0.203,0.59,0.207,0.0352
191,The sword was scarcely out of the scabbard before the enemy was apprised of the reasonable terms on which it would be resheathed.,negative,0.137,0.863,0.0,-0.5423
192,"Still more precise advances were repeated, and have been received in a spirit forbidding every reliance not placed on the military resources of the nation.",negative,0.109,0.827,0.064,-0.296
193,These resources are amply sufficient to bring the war to an honorable issue.,negative,0.212,0.598,0.19,-0.1027
194,Our nation is in number more than half that of the British Isles.,positive,0.0,0.902,0.098,0.0772
195,"It is composed of a brave, a free, a virtuous, and an intelligent people.",positive,0.0,0.348,0.652,0.9201
196,"Our country abounds in the necessaries, the arts, and the comforts of life.",positive,0.0,0.795,0.205,0.4767
197,A general prosperity is visible in the public countenance.,neutral,0.0,1.0,0.0,0.0
198,"The means employed by the British cabinet to undermine it have recoiled on themselves; have given to our national faculties a more rapid development, and, draining or diverting the precious metals from British circulation and British vaults, have poured them into those of the United States.",positive,0.043,0.828,0.128,0.6486
199,It is a propitious consideration that an unavoidable war should have found this seasonable facility for the contributions required to support it.,negative,0.152,0.742,0.105,-0.296
200,"When the public voice called for war, all knew, and still know, that without them it could not be carried on through the period which it might last, and the patriotism, the good sense, and the manly spirit of our fellow-citizens are pledges for the cheerfulness with which they will bear each his share of the common burden.",positive,0.099,0.757,0.144,0.2732
201,"To render the war short and its success sure, animated and systematic exertions alone are necessary, and the success of our arms now may long preserve our country from the necessity of another resort to them.",positive,0.127,0.665,0.208,0.5859
202,Already have the gallant exploits of our naval heroes proved to the world our inherent capacity to maintain our rights on one element.,positive,0.085,0.704,0.211,0.5574
203,"If the reputation of our arms has been thrown under clouds on the other, presaging flashes of heroic enterprise assure us that nothing is wanting to correspondent triumphs there also but the discipline and habits which are in daily progress.",positive,0.0,0.788,0.212,0.8271
204,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume.,positive,0.0,0.766,0.234,0.8299
205,"As the expression of their good opinion of my conduct in the public service, I derive from it a gratification which those who are conscious of having done all that they could to merit it can alone feel.",positive,0.047,0.757,0.196,0.743
206,"MY sensibility is increased by a just estimate of the importance of the trust and of the nature and extent of its duties, with the proper discharge of which the highest interests of a great and free people are intimately connected.",positive,0.0,0.656,0.344,0.946
207,"Conscious of my own deficiency, I cannot enter on these duties without great anxiety for the result.",negative,0.175,0.744,0.081,-0.4168
208,"From a just responsibility I will never shrink, calculating with confidence that in my best efforts to promote the public welfare my motives will always be duly appreciated and my conduct be viewed with that candor and indulgence which I have experienced in other stations.",positive,0.0,0.739,0.261,0.9246
209,In commencing the duties of the chief executive office it has been the practice of the distinguished men who have gone before me to explain the principles which would govern them in their respective Administrations.,positive,0.0,0.924,0.076,0.4215
210,In following their venerated example my attention is naturally drawn to the great causes which have contributed in a principal degree to produce the present happy condition of the United States.,positive,0.0,0.718,0.282,0.891
211,They will best explain the nature of our duties and shed much light on the policy which ought to be pursued in future.,positive,0.0,0.84,0.16,0.6369
212,"From the commencement of our Revolution to the present day almost forty years have elapsed, and from the establishment of this Constitution twenty-eight.",neutral,0.0,1.0,0.0,0.0
213,Through this whole term the Government has been what may emphatically be called self-government.,neutral,0.0,1.0,0.0,0.0
214,And what has been the effect?,neutral,0.0,1.0,0.0,0.0
215,"To whatever object we turn our attention, whether it relates to our foreign or domestic concerns, we find abundant cause to felicitate ourselves in the excellence of our institutions.",positive,0.0,0.872,0.128,0.6249
216,During a period fraught with difficulties and marked by very extraordinary events the United States have flourished beyond example.,positive,0.105,0.762,0.133,0.1531
217,Their citizens individually have been happy and the nation prosperous.,positive,0.0,0.541,0.459,0.7783
218,"Under this Constitution our commerce has been wisely regulated with foreign nations and between the States; new States have been admitted into our Union; our territory has been enlarged by fair and honorable treaty, and with great advantage to the original States; the States, respectively protected by the National Government under a mild, parental system against foreign dangers, and enjoying within their separate spheres, by a wise partition of power, a just proportion of the sovereignty, have improved their police, extended their settlements, and attained a strength and maturity which are the best proofs of wholesome laws well administered.",positive,0.026,0.632,0.342,0.9887
219,And if we look to the condition of individuals what a proud spectacle does it exhibit!,positive,0.0,0.805,0.195,0.5255
220,On whom has oppression fallen in any quarter of our Union?,negative,0.2,0.8,0.0,-0.3612
221,Who has been deprived of any right of person or property?,negative,0.237,0.763,0.0,-0.4767
222,Who restrained from offering his vows in the mode which he prefers to the Divine Author of his being?,positive,0.0,0.833,0.167,0.5574
223,It is well known that all these blessings have been enjoyed in their fullest extent; and I add with peculiar satisfaction that there has been no example of a capital punishment being inflicted on anyone for the crime of high treason.,positive,0.214,0.543,0.243,0.1531
224,Some who might admit the competency of our Government to these beneficent duties might doubt it in trials which put to the test its strength and efficiency as a member of the great community of nations.,positive,0.054,0.625,0.321,0.9081
225,Here too experience has afforded us the most satisfactory proof in its favor.,positive,0.0,0.667,0.333,0.6697
226,Just as this Constitution was put into action several of the principal States of Europe had become much agitated and some of them seriously convulsed.,negative,0.17,0.83,0.0,-0.5719
227,"Destructive wars ensued, which have of late only been terminated.",negative,0.487,0.513,0.0,-0.8225
228,In the course of these conflicts the United States received great injury from several of the parties.,positive,0.2,0.444,0.356,0.6369
229,"It was their interest to stand aloof from the contest, to demand justice from the party committing the injury, and to cultivate by a fair and honorable conduct the friendship of all.",positive,0.095,0.485,0.421,0.93
230,"War became at length inevitable, and the result has shown that our Government is equal to that, the greatest of trials, under the most unfavorable circumstances.",positive,0.121,0.748,0.131,0.0772
231,"Of the virtue of the people and of the heroic exploits of the Army, the Navy, and the militia I need not speak.",positive,0.086,0.683,0.23,0.6124
232,"Such, then, is the happy Government under which we live -- a Government adequate to every purpose for which the social compact is formed; a Government elective in all its branches, under which every citizen may by his merit obtain the highest trust recognized by the Constitution; which contains within it no cause of discord, none to put at variance one portion of the community with another; a Government which protects every citizen in the full enjoyment of his rights, and is able to protect the nation against injustice from foreign powers.",positive,0.08,0.733,0.187,0.891
233,Other considerations of the highest importance admonish us to cherish our Union and to cling to the Government which supports it.,positive,0.0,0.703,0.297,0.765
234,"Fortunate as we are in our political institutions, we have not been less so in other circumstances on which our prosperity and happiness essentially depend.",positive,0.0,0.78,0.22,0.7579
235,"Situated within the temperate zone, and extending through many degrees of latitude along the Atlantic, the United States enjoy all the varieties of climate, and every production incident to that portion of the globe.",positive,0.0,0.842,0.158,0.7184
236,"Penetrating internally to the Great Lakes and beyond the sources of the great rivers which communicate through our whole interior, no country was ever happier with respect to its domain.",positive,0.053,0.597,0.351,0.926
237,"Blessed, too, with a fertile soil, our produce has always been very abundant, leaving, even in years the least favorable, a surplus for the wants of our fellow-men in other countries.",positive,0.076,0.807,0.117,0.3283
238,Such is our peculiar felicity that there is not a part of our Union that is not particularly interested in preserving it.,negative,0.107,0.823,0.069,-0.2203
239,The great agricultural interest of the nation prospers under its protection.,positive,0.0,0.559,0.441,0.7964
240,Local interests are not less fostered by it.,positive,0.0,0.778,0.222,0.25
241,"Our fellow-citizens of the North engaged in navigation find great encouragement in being made the favored carriers of the vast productions of the other portions of the United States, while the inhabitants of these are amply recompensed, in their turn, by the nursery for seamen and naval force thus formed and reared up for the support of our common rights.",positive,0.0,0.751,0.249,0.9509
242,"Our manufactures find a generous encouragement by the policy which patronizes domestic industry, and the surplus of our produce a steady and profitable market by local wants in less favored parts at home.",positive,0.0,0.701,0.299,0.8887
243,"Such, then, being the highly favored condition of our country, it is the interest of every citizen to maintain it.",positive,0.0,0.747,0.253,0.7264
244,What are the dangers which menace us?,negative,0.561,0.439,0.0,-0.7506
245,If any exist they ought to be ascertained and guarded against.,neutral,0.0,1.0,0.0,0.0
246,"In explaining my sentiments on this subject it may be asked, What raised us to the present happy state?",positive,0.0,0.829,0.171,0.5719
247,How did we accomplish the Revolution?,positive,0.0,0.641,0.359,0.4215
248,"How remedy the defects of the first instrument of our Union, by infusing into the National Government sufficient power for national purposes, without impairing the just rights of the States or affecting those of individuals?",negative,0.074,0.926,0.0,-0.4019
249,How sustain and pass with glory through the late war?,negative,0.253,0.519,0.227,-0.1027
250,The Government has been in the hands of the people.,neutral,0.0,1.0,0.0,0.0
251,"To the people, therefore, and to the faithful and able depositaries of their trust is the credit due.",positive,0.0,0.63,0.37,0.8316
252,"Had the people of the United States been educated in different principles had they been less intelligent, less independent, or less virtuous can it be believed that we should have maintained the same steady and consistent career or been blessed with the same success?",positive,0.0,0.706,0.294,0.9452
253,"While, then, the constituent body retains its present sound and healthful state everything will be safe.",positive,0.0,0.838,0.162,0.4404
254,They will choose competent and faithful representatives for every department.,positive,0.0,0.606,0.394,0.6369
255,"It is only when the people become ignorant and corrupt, when they degenerate into a populace, that they are incapable of exercising the sovereignty.",negative,0.183,0.817,0.0,-0.5719
256,"Usurpation is then an easy attainment, and an usurper soon found.",positive,0.0,0.775,0.225,0.4404
257,The people themselves become the willing instruments of their own debasement and ruin.,negative,0.241,0.759,0.0,-0.5859
258,"Let us, then, look to the great cause, and endeavor to preserve it in full force.",positive,0.0,0.785,0.215,0.6249
259,Let us by all wise and constitutional measures promote intelligence among the people as the best means of preserving our liberties.,positive,0.0,0.495,0.505,0.946
260,Dangers from abroad are not less deserving of attention.,negative,0.286,0.714,0.0,-0.4939
261,"Experiencing the fortune of other nations, the United States may be again involved in war, and it may in that event be the object of the adverse party to overset our Government, to break our Union, and demolish us as a nation.",negative,0.131,0.757,0.112,-0.2263
262,"Our distance from Europe and the just, moderate, and pacific policy of our Government may form some security against these dangers, but they ought to be anticipated and guarded against.",negative,0.066,0.881,0.053,-0.1027
263,"Many of our citizens are engaged in commerce and navigation, and all of them are in a certain degree dependent on their prosperous state.",positive,0.0,0.717,0.283,0.7845
264,Many are engaged in the fisheries.,positive,0.0,0.649,0.351,0.4019
265,"These interests are exposed to invasion in the wars between other powers, and we should disregard the faithful admonition of experience if we did not expect it.",negative,0.206,0.649,0.145,-0.2732
266,"We must support our rights or lose our character, and with it, perhaps, our liberties.",positive,0.13,0.58,0.29,0.5106
267,A people who fail to do it can scarcely be said to hold a place among independent nations.,negative,0.189,0.811,0.0,-0.5423
268,National honor is national property of the highest value.,positive,0.0,0.556,0.444,0.6808
269,The sentiment in the mind of every citizen is national strength.,positive,0.0,0.758,0.242,0.4939
270,It ought therefore to be cherished.,positive,0.0,0.602,0.398,0.5106
271,"To secure us against these dangers our coast and inland frontiers should be fortified, our Army and Navy, regulated upon just principles as to the force of each, be kept in perfect order, and our militia be placed on the best practicable footing.",positive,0.061,0.743,0.196,0.7964
272,"To put our extensive coast in such a state of defense as to secure our cities and interior from invasion will be attended with expense, but the work when finished will be permanent, and it is fair to presume that a single campaign of invasion by a naval force superior to our own, aided by a few thousand land troops, would expose us to greater expense, without taking into the estimate the loss of property and distress of our citizens, than would be sufficient for this great work.",positive,0.09,0.713,0.197,0.9055
273,"Our land and naval forces should be moderate, but adequate to the necessary purposes -- the former to garrison and preserve our fortifications and to meet the first invasions of foreign foe, and, while constituting the elements of a greater force, to preserve the science as well as all the necessary implements of war in a state to be brought into activity in the event of war; the latter, retained within the limits proper in a state of peace, might aid in maintaining the neutrality of the United States with dignity in the wars of other powers and in saving the property of their citizens from spoliation.",negative,0.145,0.695,0.16,-0.2617
274,"In time of war, with the enlargement of which the great naval resources of the country render it susceptible, and which should be duly fostered in time.",positive,0.118,0.758,0.124,0.0516
275,"of peace, it would contribute essentially, both as an auxiliary of defense and as a powerful engine of annoyance, to diminish the calamities of war and to bring the war to a speedy and honorable termination.",positive,0.209,0.558,0.233,0.0516
276,But it ought always to be held prominently in view that the safety of these States and of everything dear to a free people must depend in an eminent degree on the militia.,positive,0.0,0.715,0.285,0.9109
277,Invasions may be made too formidable to be resisted by any land and naval force which it would comport either with the principles of our Government or the circumstances of the United States to maintain.,positive,0.0,0.924,0.076,0.4215
278,"In such cases recourse must be had to the great body of the people, and in a manner to produce the best effect.",positive,0.0,0.707,0.293,0.8519
279,"It is of the highest importance, therefore, that they be so organized and trained as to be prepared for any emergency.",positive,0.104,0.72,0.176,0.2023
280,The arrangement should be such as to put at the command of the Government the ardent patriotism and youthful vigor of the country.,positive,0.0,0.727,0.273,0.7579
281,"If formed on equal and just principles, it can not be oppressive.",positive,0.0,0.83,0.17,0.3089
282,"It is the crisis which makes the pressure, and not the laws which provide a remedy for it.",negative,0.296,0.704,0.0,-0.743
283,"This arrangement should be formed, too, in time of peace, to be the better prepared for war.",positive,0.155,0.516,0.329,0.5267
284,With such an organization of such a people the United States have nothing to dread from foreign invasion.,positive,0.0,0.74,0.26,0.6463
285,At its approach an overwhelming force of gallant men might always be put in motion.,positive,0.0,0.838,0.162,0.4019
286,"Other interests of high importance will claim attention, among which the improvement of our country by roads and canals, proceeding always with a constitutional sanction, holds a distinguished place.",positive,0.0,0.762,0.238,0.7579
287,"By thus facilitating the intercourse between the States we shall add much to the convenience and comfort of our fellow-citizens, much to the ornament of the country, and, what is of greater importance, we shall shorten distances, and, by making each part more accessible to and dependent on the other, we shall bind the Union more closely together.",positive,0.0,0.88,0.12,0.7579
